lable_bert,label_lr,text
LIJ,LMO,ghe dumandò tütt'assemme u vegettu.
VEC,ROA_TARA,E tute queste cosse chontàno quelli de quel castello a misier Marcho Pollo.
LMO,LIJ,Che ghe segge ascuzu drentu quarchedün!
SCN,LIJ,Egli non feva forza s'elli erano morti.
LMO,VEC,"E quando l'ave fata questa orazion chon gran devozion e fede, inchontenente, per vertù de Iesu Cristo, la montagnia se partì e andò in quel luogo ov'eli voleano."
LIJ,VEC,"Mò u n s'durmôiva, péna t'ciudivi j'ôcc:"
VEC,LIJ,Noi folere fetere Coliseo.
LMO,LLD,Dute i dis ai camele dei tré ré maje el i fejea fei doi pasc.
LIJ,NAP,"derembætte u Comune, che frescùre, ndu pertóne du vécchje Cælvælle:"
LLD,LMO,el s à betù a zià cain e l i à coresc drio a chi tre boi bocoi.
ROA_TARA,NAP,E io lle vulesse dì':
FUR,VEC,"Tiziano Centis e Simona Liguori, pai Cittadini;"
VEC,LMO,Le leze de' Tartari è tale:
LIJ,LMO,g'ho troppa cuæ de mangiâmiou!
LIJ,VEC,"I àno i chorni grandi ben sìe spane, e almeno quatro over tre."
LIJ,SCN,Mi vueiva turnâmen'a ca':
LIJ,SCN,"Doppu avei stranüòu, u buratinâ, cuntinuandu a fâ u rouzu, u criò ou Pinocchiu:"
LLD,VEC,"Gian Luigi l é leà su e l é 'sù a canbià de posto i Ré Maje, parceche l ea beleche passà un dì."
EML,LLD,"Ai ò da stèr in uraccia però, parché l é alêrgic ai fónnż:"
LIJ,LMO,"Tütt'atru, câu padrun;"
ROA_TARA,NAP,"Naume,jè Colètte,avaive ottanta quatte anne ."
SCN,LLD,Agnó era 'suda a fenì ra pajina 18?
NAP,VEC,La zente è tuta negra e adorano Machometo.
LMO,EML,"Papà an i é inción problêma, te vdrè che con quall ch'at regalarò t et truvarè bän."
LLD,VEC,"Polito, alora dajosse ra man e l contrato l é beleche fato.Velo ca l contrato fato."
PMS,EML,Lentament a vedi rinverdir i nostar gest fat ad lusz incora neuva cme cal dè c'as siom arcurdà ad vardaras intant ch'el sul fastand al sa spusava.
VEC,LIJ,zioè idolatri e cristiani nestorini e quelli ch'à la leze de Machometo.
LLD,VEC,De l indoman bonora ra besties es s à descedà e es s à inacorto alolo che ra pizora no n ea pi.
VEC,NAP,"Llario Largo, piazza."
LIJ,NAP,"ce dæ la forze, c'ælleggerisce u còre, e còme e isse, n'ge ne stanne pære;"
VEC,LMO,"E anchora se ge fa el spodio, e diròve chome:"
LMO,VEC,"El se tolea el dute i merite, e l i dijea ai elefantes:"
VEC,NAP,e viveno de merchadantie e d'arte;
EML,VEC,L òn l i à dà a 'Sorśo un penelin e l sin é 'sù.
SCN,LIJ,... dumandò u Pinocchiu fanduse serriu.
VEC,PMS,"Ió, che son sa pare de chel borson, scoto e no sei ce dì."
VEC,PMS,E viveno gran tenpo in la soa penitenzia che i fano per amor delle soe idolle;
NAP,PMS,", E ghiammo."
LMO,SCN,"Li ré Maggi nvecchiavene sèmbe de chiù, ma accattavene ogni annu li riali pe re fa purtà da la fata, ca èra devendata pur'éddra chiu bbècchia."
LLD,VEC,"Gian Luigi l mincionaa senpre sò fardel par via dei ciaei rosc, e ei pensà che chi doi i s aarae ciapà inze."
LMO,LLD,"Coscita, ei vorù tirà ra rees."
LIJ,SCN,ma u nu gh'aiva u curaggiu:
LMO,FUR,me che tac i tac a te che te te che taca i tac??
LIJ,VEC,"Doi pestuze de marmo come doi dade da menestra, e son aposto."
ROA_TARA,LIJ,rispuze 'na vuxe.
VEC,LIJ,el se ge prende pernixe assai.
LIJ,SCN,"et sono molto boni chazatori, et trovasse chazaxion assai."
LIJ,VEC,"E quando che i fono zonti a Llagiaza, ei steteno pocho e veneno in Achre."
EML,PMS,L'arspòsta a v la dän sóbbit:
ROA_TARA,VEC,e lle grande done e lle zentil portano pani de ganba e meteno molto pano in le lor brage.
LMO,VEC,"Ndàn, ndàn, ndà!"
SCN,LIJ,E mi faiô a stradda a pê.
SCN,LIJ,M'amanca l'Abecedaiu.
VEC,PMS,"De Temur, ... ab anticho del Gran Chaan."
LIJ,VEC,E sapiate per zerto che tuti l'inperatori e re de' cristiani e de' seraini nonn à tanta posanza nì chusì grande segnioria dentro tuti chusì chome à Chublai solo;
LIJ,VEC,"Armenia Grande deverso mezodì chonfina chon una provinziach'è verso levante che à nome Mosul, e abita in quella contrà cristiani che èno apellati iachobini e nestorini, e nonn è bene in la drita fe'."
LLD,VEC,"I lourantes, par no res lascià morì, i tendea con amor, i netaa e i vonsea duta ra rodeles."
LLD,NAP,"In ordin... El fraca inze a ra refusa libre, cuaderne, scafediei, gomes e carta sugantes:"
VEC,NAP,"E sì se lavora molti drapi de seta che è apellati iasdi, e li merchadanti li portano per molte contrade."
VEC,LMO,"Chome i anbasiatori de uno re vene ala chorte del Gran Chaan e domandò per grazia al signior che quel misier Nicollò, Mafio e Marcho andasse con loro."
VEC,LLD,"Ah, coscita me tratà?"
VEC,SC,"Né alchuno dapoi non gli osòno plui dir inzuria né tentarli della sua fede, ma steteno quieti et pazifichati."
FUR,VEC,"La tesi si clame Ecomusei tra patrimonio, comunità e territorio."
LMO,VEC,Ió t ei salvà un colpo e tu te m as vorù copà.
LMO,EML,"Quasst l êra Âmos Lèli, e tant èter de pió."
VEC,SCN,E li cristiani li proferseno grande avere aziò che i la conzedesse.
LMO,NAP,Racchiude gli spiccioli nel sacchetto e lo ripone nella tasca della sua ampia e goffa giacca.
LIJ,SCN,U Pinocchiu u l'ôbedì.
ROA_TARA,LIJ,Mènne a la pòste u nònne.
ROA_TARA,VEC,Le sòlde ca se spénnene ped accattòie la dròghe sèrvene sòle a mbré préme;
VEC,NAP,"De Metrit, ove se chavalcha i zervi."
NAP,SCN,"Ed il nostro signor Sindaco, sulla panza il tricolore, si ciaciàva pure lui, assai 'e cchiù delle signore."
EML,PMS,"Mò l'udaur tla bàursa e mi loibri ad Walter l'è arvænz, l'udaur dla crema e dla nòsta gioventó."
VEC,LLD,"In ea na fila finamai su in son, sui mure pi oute."
LLD,NAP,"Ra 'sente ra 'sia 'sò par i sciaris, ra passaa via l porteleto, ra deentaa un jato e ra scomenzaa"
LMO,VEC,Zaschuna porta è guardada la note da mille omeni;
SCN,LIJ,Nua capisciu sta freve!
VEC,LLD,"E tu, stanpion, te t as lascià scanpà un pesc de oro!"
LLD,LMO,"Dal indoman, canche Biancognee ra s à descedà e r à vedù chi sete omete che i ra vardaa, ra s à spasemà."
NAP,SCN,'a terra cerca carezze d'ommo e nno fierrospinato ch'annasconne missele cu 'e ttestate nucleare.
FUR,VEC,Chome misier Nicollò e misier Mafio andò chon uno anbasiator al Gran Chaan e chomo egli fo visti vollentiera.
SCN,LMO,Proppi'n bell'acattu!
SC,FUR,Mustru l'abachin ae furmigue.
LLD,VEC,me l à dito ra maestra.
SC,LIJ,Ma mi... Via cun niatri!
PMS,VEC,"Sorela mea, ma da can asto scomenzà a ciacolà?"
LLD,VEC,"Ma dai nanete, ves ra marina Biancognee r é deboto na stela."
LMO,FUR,Dute i galantome i à zinche diede
LIJ,VEC,"E come non bastassero i reali, i veri membri dall'aspetto crudo, abbiamo pure quelli che, virtuali, il vero nome lor non metton nudo."
NAP,SC,E 'o cliente:
LLD,VEC,I porzeluche i é montade su sui rame e i s à magnà pi pome che i podea.
SCN,VEC,La femmina ssimegghia alla castagna:
VEC,LLD,Cemodo era che v indromenzà propio canche i nemighe i me vien in ciasa?
NAP,LLD,Vardete danoo inze scasela.
LLD,VEC,"Ades se l mantien el Comun, e l maestro l i insegna a scrie VIVA L CAPOCOMUN."
SCN,NAP,vurria fa na scappata n'Terra.
NAP,ROA_TARA,Famm' vere' tutt' 'e sveglie
LLD,VEC,"Ra luna r é senpre lassù, gnero?"
NAP,ROA_TARA,Canciell' tutt' 'e sveglie
NAP,VEC,Pien è una pizolla provenzia ch'è llonga zinque zornate ed è dentro griego e levante;
LLD,LMO,"Pian pian, fin che es se ra contaa in alegreza, es é ruades da ra Strenta de Jibiltera."
VEC,LMO,"Pensa e pensa, el scior Guglielmo l à deziso de tacà su su ra porta na tabela con scrito:"
FUR,LIJ,Aspetu che vegnan a purtâme via cua cascia.
VEC,NAP,The Two Gladiators sta in proiezione
VEC,LIJ,Ancora ve voio chontar una grande meraveia ch'e' incontrò dentro Baldacho e Mosul.
VEC,LIJ,De zincuanta ane l ea un bel brascion.
LIJ,SCN,li nu stüdiemu ciüe:
LLD,VEC,L à capì che zenza struscies se reduje poco e no se rua mai a fei algo del ver.
LMO,EML,"Cus'èl da fèr un sant, sía in vétta che post mortem?"
LLD,VEC,"Biancognee r ea senpre bianca come l gnee e rossa come l sango, e i sò ciaiei i ea senpre slisce e negre come l carbon."
LLD,VEC,L à un vagon solo e duta ra careghes es é betudes daejin dei fonestris.
LMO,VEC,L'ho sentia a l'anastu.
LLD,LIJ,Capitagno l à craià l nostromo no n é pi oio.
LMO,VEC,Ci elo stà a dì sta paroles?
FUR,SCN,Te basi mila vòlt...2.
LMO,SCN,"Hm, hm."
SC,LIJ,vegni cun niatri e staiemu alegri!
EML,LMO,"Am vén vójja ed dèri i òt dé, a cal durmiån!"
LIJ,LMO,Quant'u l'é distante da chì u Canpu di miacui?
LLD,VEC,"Par chesto es stà fermes e cetes, e es daerse chel tanto i oce canche l tanpestea."
LIJ,SC,Tou spiegu sübbitu.
SCN,NAP,"Cannela, lu puaese mije, è tutte nnu quadrette, nnu presebbie;"
VEC,LLD,In ciasa no n ea negun e i aarae podù se petà fora zenza che negun i vedesse.
VEC,SC,Truov' l'opera criativa Deadly Weapons
LLD,VEC,fosc par chesto l ea nossicé che me premea tanto.
LMO,LIJ,paiva ch'u l'avesse i ae ai pê.
SCN,NAP,"Ju, inzomma, nun sacciu cumme ve r'aggia dì, Casparì!"
SCN,LIJ,Ti vegni cun niatri o ti resti?
LIJ,LMO,Alua turna scciüpuin de rie;
LIJ,VEC,Questi sono i più belli omeni e plui sani e plui merchadanti che siano in quella contrà.
EML,PMS,"Quand äl s avṡinèven, äl sunèven la trunbatta con la paira ed gåmma."
LMO,LIJ,L'é inüttile che ti me tenti!
LMO,VEC,El ge n'è vignie e biava e frute asai.
NAP,LIJ,"c'o' tubbo,'a caramella e c'o' pastrano;"
LLD,VEC,Ogni arco de ogni pian i ea ocupade da jate co ra coda su dreta.
LMO,PMS,L'è incantevul al silensi di toe oc intant ch'el ciel l'arviv al respir dla matina.
LLD,VEC,La plui nobile zità della provinzia à nome Pien.
LLD,VEC,"Ades l é un roero vecio cuco, pien de rame e de foies, e i ra ciama ra pianta Poulino."
LLD,PMS,l à respondù Kum.
SCN,NAP,Giggì ti ho mai detto perché ti ho chiamato così?
VEC,LLD,"Vedee chi por tosate, ferme da un toco inze chel pontuin, inbramide e pies de festide."
VEC,LMO,E mi ghe disci:
LMO,LLD,P'nzèv ca jì m'n' jév !M' lè 'bbraccèt e l'è dìtt
LLD,VEC,Voltà alolo ves ra prima strada a man dreta!No se po parlà col sciofer
LLD,SC,ra nae r à scomenzà a zerucà e r é tornada danoo via pa r aga.
LIJ,NAP,Tiempo
LIJ,PMS,... E quæla?
ROA_TARA,LIJ,Poi la fa lavare e romane quelle fille;
LMO,VEC,"E tanto fexe i saraini che 'l figiol de Zigatai, lo qual aveva la signioria, comandò a' cristiani che de lì a diexe dì la piera fusse renduda."
LIJ,NAP,ma u nu l'atruvò.
LIJ,VEC,"E alchuna fiata olde l'omo, de bel zorno chiaro, voxe di demonii;"
VEC,FUR,Dai zero stelle ad Halo:
VEC,LLD,"Ió te lascio el lieto, l sofà e ra carega, tu te pos propio me lascià l mè coscin."
PMS,VEC,Sce vorà vvenì puro lui.
EML,LMO,Eun u s'è mèss a roid J'à sempra voia ad scarzé sti burdlàzz.
LLD,PMS,Cu ttico Con te.
LLD,VEC,"Vedon mo ades ci che l é ra pi bela! r à dito contenta ra marigna catia, e r é scanpada."
LLD,LMO,Fosc Vos no n aé colpa el me disc con creanza l cuaderno a cuadratis.
SCN,VEC,ma seppellita nella spazzatura!
VEC,LMO,"E misier Nicollò e misier Mafio, li qual era savii e aveduti e saveva ben la lengua tartarescha, a zaschaduno ponto per si rispoxe ordenatamente."
SCN,LMO,a dumandò riendu ou mariunettu.
SCN,LIJ,e cianzendu u diva:
SC,NAP,"Ti fosse capitato il 42 che è l'uva sotto il pergolato Non può continuare, anche se forse ha detto quel che occorreva perché: Imperiosa, l'atroce voce di Atropo interrompe il vaticinio:"
LMO,VEC,Despes el canbiaa i pastore de posto epò l i predicaa 'sò par sora:
LMO,EML,"Mo sé, giänla pûr tótta."
NAP,SCN,"Perciò,stamme a ssenti...nun fa''o restivo, suppuorteme vicinoche te 'mporta?"
VEC,NAP,e sano molto de inchantamento et de arte de demonii.
NAP,FUR,Baldacho è lla plui nobille zitade e lla plui mestiera che sia in quelle contrade.
VEC,SC,"Alora, seo pronte?"
LLD,VEC,senton i jate de Pariji e lore i ocuparà ra Tore Eiffel.
NAP,SCN,Nun c'è che fa' !...
NAP,SCN,quisti oj se la pigliene puru cu re crjature appéna nate!
LIJ,LMO,"Però l'a n po andae avaenti acsè, bsògna ch'a m'urganéza!"
SCN,LIJ,"(Oi sciorta, oi sciorta nfama e traritora!"
SCN,NAP,"Ma tutte re cose bèlle feniscene na vota e, cu lu tiémbu, la fémmena se sfastidiavu e nun purtavu chiù niéndi."
VEC,NAP,E mo che dice?.
LLD,VEC,Ra scimies es ride da se sbreà e es seguita a 'suià.l craia el cocodrilo.
NAP,VEC,"Le zente adorano Machometo et ène molto bella zente, e spizialmente le femine sono molto belle oltra modo."
LLD,VEC,Ra vo deentà ra femena del Goernador.
NAP,VEC,Quanta neve preveren'?
NAP,LMO,Canciell' tutt'e promemoria
VEC,NAP,Sarrà nuovoloso oggi a Grindstone?
LMO,PMS,Inscì on grandissim amor el se tramuda in d'on òdi ferocissim.
LLD,VEC,"Par desgrazia, canche r à partorì, ra rejina r é morta."
LIJ,VEC,"Seo drio a vardà ra luna, o nò?"
LLD,VEC,"Un toco in là, ra rujes es s à fato su come sarpentes e ra formies es no n é pi 'sudes adora a res fei moe danoo."
LLD,LMO,Eco mo disc ra 'sente El scior Venceslao l à fenì de 'sì a strafier.
LIJ,ROA_TARA,"Puzzæ hi æ ngæpe u mónne, prime o dope te n'æddune:"
NAP,VEC,"Chiama le sorelle, che s'avvicininino, poi scuote dolcemente 'o panariello d'a riffa."
NAP,VEC,Quanto e quanto e quanto t'aggio amato!
LLD,LMO,"Oh bela, l à dito l Scior Codanegra."
NAP,LMO,"Ccellenza, e che piatá!"
NAP,SC,"che cosa triste, cupa, abbelenata:"
NAP,VEC,So' 'a Morte..
LMO,LIJ,vuei savei tütta a vea stoia?
LLD,FUR,"Ra feda ra i disc gramarzé, ra mena ra coda come un cianeto e ra sin và."
LLD,VEC,"Nafré dapò, i à sentù che calchedun raspaa e sofiaa inze l camin:che l ea drio a vienì 'sòs à postà alolo pede l camin e co i à vedù spontà fora ra zata negres, i à tirà via de oga l cuercio da ra cioudiera."
LLD,VEC,"Ra vardaa fora par vede l gnee che vienia 'sò, e in chera ra s à ponto un diedo co ra bujela."
NAP,LMO,'E nierve ogne mez'ora?
VEC,NAP,E nò solo chesto.
LLD,LMO,"Na bela idea, ei pensà ió, e son 'sù a me conzà 'sò su ra poltrona."
SCN,LIJ,ticu 'nnu cugghione.
VEC,LMO,"Et è tropo bon chavalchar per quela contrà, et è bon solazo;"
LMO,LIJ,Ma ti ghe l'hæ coæ de rie!
LLD,VEC,Ades mo te sos morta!r à dito ra rejina catia.
LLD,VEC,"Chi da Modena i vede ra neola, i vede ra pioa, ma i no sà gnanche che ra pioa r é fata co ra paroles de ra pajina 18."
LIJ,SCN,li nu gh'é de libbri.
SCN,LIJ,"Sun marottu, caa Marmuttiña, tantu marottu... e marottu de 'na moutia ch'a me mette puiia!"
VEC,LMO,"e anchora sta chussì, senza che altra cossa la sostegnia."
LLD,VEC,"Babo, t ei mandà a ciamà parceche t araes da fei ancora algo par me."
ROA_TARA,PMS,"PROSPERI ha fàtte 'nu fàlle da stuèdeche e sús'a punizzióne, 'u FOGGIA ha segnate."
LLD,VEC,Ma l me piajarae de pi se in ciou de tanto podesse l canbià cemodo che voi ió.
LLD,FUR,Ra gran sartora r é deentada rossa come l fo;
SC,LIJ,Ti ghe vegni cun niatri?
LIJ,VEC,"E da lato deverso mezodì è zinque porte inel muodo delle altre, e zaschadun altro lado à pur una porta chusì chome à l'altro."
LMO,VEC,E sì se ge trova una vena della qual se fa la salamandra;
VEC,LLD,Ma ió no poi pi vive zenza de era!
VEC,LIJ,Parcé lasciao senpre vienì inze i nemighe da ra porta daos?
LIJ,PMS,Questa contrà sì à lenguazio per si.
NAP,SC,Fronn' 'e lattuca!
VEC,NAP,Ce te egnelo in mente?i à dito Mario.
LLD,VEC,"L à tropo da fei, l omeneto de ra pioa, senpre là a daerse e sarà chera spines, e deraotes el se straca."
NAP,VEC,"Està, c' adduorme, afosa, abbagliante, pesante, che martirio che si'!"
SCN,LIJ,"Ed i parroci in disparte, quello nostro e quello loro, inciuciavano in latino, e cantavano col coro."
LLD,VEC,"L ea meo se es se contentaa de un dissegno a ra bona, mangare col carbon."
ROA_TARA,LIJ,Mèndre tùtte stè frescèvene GATTO s'ha futtúte 'u pèsce sòtt'a ll'uècchie de tùtte.
VEC,LMO,"quella salamandra della quale e' digo non è bestia nì serpente, chome se dixe, ma sì se fa in la maniera che ve dirò."
EML,LMO,mî pèder al s pighèva e mé a sintêva int la cåppa al sô fiè ch'al s fèva gròs.
SCN,LIJ,"Ti ste mu dda, ssittatu;"
NAP,VEC,Co sta ppigghia culore la pastetta!
LIJ,NAP,ma te cunfèssu ca nun rièscu a gliotte nu vucconu.
LLD,VEC,"Dute i tol ra mè testa par na bala da biliardo o par un zol, e i me tira sassades."
LMO,ROA_TARA,'Vvucín a te m' so 'mbarèt ca sta vít jè cóm nu v'stít.
VEC,SCN,"io,tomo tomo,stavo per uscire buttando un occhio a qualche sepoltura."
NAP,LMO,Tarzan of the Apes sta in riproduzione 'o Cobb Theaters?
SCN,LLD,La maistra zità è dita Chamul.
SC,LIJ,Ti peixi tantu? Peizu?
VEC,LLD,"l aea anche sentù a dì de na zerta fata dai ciaei paonaze, ma ciaei verdes propio l no in aea mai vedù."
LIJ,LMO,Le done d'i Tartari chonprano e vendeno tute quelle cosse che bixognia ala fameglia.
LMO,VEC,On da i lo dì a el.
NAP,VEC,Però... Vi siete presa 'a limunata?
EML,LMO,Tutt i'hann fatt al sô buccon m'è saltä quäsi un miliôn!Asto pret ad la malura cal ma fatt rastä pr'un ura seimpr in snocc'insim'un banc l'ha vuri des mila franc!
LLD,LIJ,Ra marigna catia r ea contenta come na Pasca.
PMS,LMO,E vos parcé voreo sbarà?
LLD,VEC,"l ea assei chera che i crescea sun testa, che ra l paraa polito dal soroio."
LIJ,VEC,"In questa tera se fano vino de datali e de molte altre bone spezie, et è molto bon;"
NAP,SCN,"Che nun v'accido, Màtre Ubú."
LIJ,VEC,Anche cei in é doi:
LMO,LIJ,El souta su e l disc:
SC,SCN,S'acalaie Si chinò.
NAP,VEC,Fronn' 'e viola!
LLD,VEC,"reoltae su ra soracuerta intrà ra zates, tanto par fei algo."
LIJ,VEC,"Se no passon, tornaron indrio."
LIJ,VEC,"E fate quelle chosse, i parenti de queli do morti se tien parenti chusì chome se quelli do morti fosseno vivi."
NAP,SCN,"dì fuora della chassa, e lla femena marito."
NAP,SCN,Ccà sta Teresenella 'a purticese!
LMO,FUR,Là r aga r ea chieta e ei podù me bete a nodà.
SCN,LMO,E alua chi t'ê?
LLD,LMO,Ades ve digo parcé.
LLD,NAP,"Par chesto, canche sona i jate no se capisce mai ra musica;"
SCN,VEC,te daggu vinti sodi.
LLD,VEC,"Zenza se fei stà, ra rejina r à dito:"
LLD,VEC,"E ades ra crodes,come gran naes,"
NAP,PMS,'O ccapisco:
VEC,LMO,el varda ra veceta coi sarvije color naranza e l i tira un zignoto.
NAP,SCN,"Sona, sona a Donnalbina, campanella, d' 'a cchiesiella!"
VEC,SCN,"Poi solerte rientra, sorridendo mesta:"
LMO,LIJ,"... perché se ti nu ti g'hæ puiia de niatri, mancu niatri gh'emmu puiia de ti!"
NAP,SCN,Oggi chiove?
LIJ,LMO,mi vueiva cuntinuâ a stüdiâ e a fâme ônû... ma u Muchettu u me disse:
VEC,LLD,"Co se sente hm, hm inze stua, tajon dute:"
LLD,VEC,Un pizo l m à damandà ra storia de un jato che parla.
ROA_TARA,NAP,A famme male fò u préme.
LLD,LMO,"Un euro tot tacaed, a n gne voi dae ma ch'l'intipatìch!"
LLD,VEC,El porteà de ra virgoles.
ROA_TARA,VEC,Diman' chiove?
NAP,SCN,Avesse nevicà oggi?
SCN,NAP,"La vita, si sape, è ffatta a ttiraturu:"
LMO,LLD,E es se r à betuda via.
SCN,LIJ,la partecipazione nei processi di costruzione di identità interculturali.
LMO,SC,No podaraesto min proede una noa?
LIJ,VEC,li se demuiemu daa matin aa seja e staiemu senpre alegri.
SC,VEC,Vivo a Bologna ma ho Taranto nel cuore sol rossoblu è la mia eterna fede chi Taranto non ama non ha onore e men che niente è chi all'Arsenal non crede.
LIJ,LMO,piggiælu e metteilu sübbitu in prexun.
LLD,VEC,Sedenò ciamon i jate de Milan e lore i ocuparà l Duomo;
EML,LIJ,"T sintivi snò al bòti di martéll ch'li s déva vàusa e li s'atachéva, òna dri ma ch'l'aelta, t na cantiléna ch'l'a n smitòiva mai."
LIJ,NAP,"Maritetu è dittu ca nu l'è fa aspettà tandu tiémbu pe lu menì a truà, pecché sinó se more de fame."
LLD,VEC,Alora el core intorno par el zielo a daerse duta ra spines.
LMO,NAP,"Embè, usciamo."
VEC,LIJ,"Chome misier Nicollò e misier Mafio menò Marcho, fio de misier Nicolò, ala chorte del Gran Chaan;"
NAP,VEC,Profumo o smirbe?
LMO,LLD,Ce elo suzedù?
VEC,LMO,"e paseremo per la contrà de Chanpion, della qual ò fato menzion de sopra."
LIJ,EML,Da che dè e nost Vicæri u n'è stæ piò leu.
LLD,VEC,"El cuerto, ra porta e ra funestres el res à fates co ra cianes ciatades pede l lago."
SCN,LMO,Ma mi sun ün testardu...
LMO,EML,"Tütt des franc!Gh'è quäsi gnint, i'enn tütt piöcc adess la gint;"
VEC,LLD,Arae acaro che negun se lagnasse pi.
SCN,LIJ,"Ohu, sciû Pesciu, sciâ mia permettieiva 'na parolla?"
LIJ,VEC,U me diva senpre:
SC,LIJ,"E percose ti desci amente ou cunseggiu de quellu fasu amigu, de quellu cattivu cunpagnu?"
LLD,VEC,"I piaje passà ra 'sornades a tirà cuces su ra schena del cocodrilo, che l dromiea inze l pantan.l disc el cocodrilo, che l crede che calchedun l i ebe petà su pa ra schena par podé se bicià inze inze r aga."
LLD,LMO,"Sul cuercio i à ingravierà con letra indorades el sò gnon , e i à 'sontà pede che l ea ra fia de un ré."
FUR,VEC,"lui lo redusse in scritura, e questo fo ano domini MCCXCVIII."
VEC,LLD,"Caro 'Sanuco, ió son un jato siesto e stago ben de ciasa."
LMO,VEC,Ma ala fin Chinchis ave la vitoria e 'l Prete Zane fo morto.
LIJ,SCN,S'u l'é grossu!...
SCN,FUR,"Iessi lu soli, doggi, a primavera;"
LLD,VEC,l à dorà ra parola nordista parceche l r à inparada al cino.
LMO,LLD,Manco mal che m aee insonià duto!
SC,VEC,"Io ti farò da guida e Cicerone, tu seguimi con brama di sapienza però domanda con molta discrezione o un rufolone sarà giusta penitenza.Grato e commosso dell'onor avuto avvicinai PG, che s'avanzava calmo ei mi ammonì con il suo sguardo acuto Dal culo mio, statti lontano un palmo!"
LIJ,SCN,U l'é u nostru fræ Pinocchiu!
VEC,LLD,El non é mia duto a sosta disc calchedun.
LIJ,ROA_TARA,"Tenime tantæ dune du Segnòre, e æmmæzzæ æ tutte, quéste jæ u chiù cære:"
SCN,NAP,Accussì fenisci la storia ca veramènde succedivu a Morra tand'anni fa.'Nu pincopallino more e va 'mparaviso.
LIJ,LLD,Miime mi! disse a Vurpe Pia pasciun stüppida de stüdiâ ho persu 'na ganba.
VEC,LIJ,"E a questo modo i chonduxeno i nemixi soi ove i vogliono, e fano gran dano ai nimixi chon quelle saite."
VEC,FUR,"Ei capì: aì, aì, brao, ei capì."
LMO,LIJ,se ghe i avesse mi ascie i ae! e lê u me disse:
ROA_TARA,NAP,Imposta 'na sveglia ogni minuto pe' 11 minuti
LMO,PMS,"Ciamà i ponpiere, ciamà i jandarme!"
VEC,FUR,"Ciò detto ratto sparve in un baleno or era quì ed ora è già lontano forte, potente e immenso come un treno lesto partì in direzione Fano."
SCN,VEC,"Ha il suo lavoro da fare, la vecchia."
LLD,SCN,ci che l se bete ancora ra coda l é un veciarlato!
SC,LIJ,Ti parli foscia de mi?
LIJ,ROA_TARA,"jéve isse u tæmbe tije, che sciuvelanne, sciuvelanne, ce ne jéve."
SCN,NAP,scusa si m'aggiu ndrumissu.
LLD,VEC,"Ra pizora r é ruada da un gran brascion, che l ea de duta ra besties del bosco;"
ROA_TARA,VEC,"(Palomba Michele è la somma di tanti personaggi e di tante storie torresi, confluite in un nome, senza alcun riferimento a persona esistente o esistita."
LLD,LMO,"Guglielmo l no n é scior, ma i ladre cemodo poi el saé?"
VEC,LMO,"Da dassera, ignante de 'sì a dromì, mè fiol el bete in ordin ra sacocia."
SCN,PMS,"Fa, Ndin, ndon!"
LMO,VEC,e anchora d'i mior meloni del mondo el ge n'è in grandisima abondanzia;
SC,LMO,"Quell'elemento che sul Cagiva è in sella è StragaTebe, già Kukkuwasha detto di lui potrebbe dirti tua sorella, come rivela il suo sguardo da folletto."
LIJ,NAP,Certo guaglió ca sî esquimese!
LIJ,ROA_TARA,"E ninnæ nanne, ninnæ ninnæ sonne, véne æ durmì stu figghje, morte de sonne;"
VEC,EML,E i ge dè' IV tavolle d'oro de chomandamento:
LMO,NAP,"Chi, bbella figlióla?"
LLD,LMO,Ra neola ra à dà alcuanta saetes a ches outra sò amighes;
SCN,LLD,Mai!... e ti?
EML,LMO,"Quant ch'i'è scap fura, a m s'éra tolt un scaslòin e a i tnoiva tot a lè."
LIJ,NAP,Dopp'in pô u Direttû u criò:
NAP,ROA_TARA,pò se ne fìusce e scàppe arrète 'mèzz'a màire.
VEC,PMS,"Passa l dotor (un Dito anche el, ma 'Soen) a dì ra soa:"
LIJ,SCN,U Pinocchiu u cianze a morte da bella Figgiöa
LMO,SCN,Mi fa piacere assai di rivederla :
LLD,LMO,I jenerai i no capìa ce che ra sbrodonciaa;
LMO,LIJ,"E ben, xöa sübbitu lazü:"
SCN,NAP,era na bella coppia cuncértata comu Rumeu e Giulietta tale e quale.
SC,FUR,Mi sint propit fortunade:
LIJ,VEC,eli àno una chassa de tolle grosse ben una spana;
VEC,LIJ,"Quello gran lago è apellà Mar de Gheluchelan, e volze atorno ben settecento mia, ed è da lonzi da ogni mare ben XII zornade;"
LLD,PMS,"Son un sassin, daèrseme alolo ra porta."
SCN,SC,E intantu a famme a cresceiva e a cresceiva delungu:
LIJ,LMO,Faççu u can da guardia.
VEC,LMO,Vos v aassao fato fei na fotografia da chera canaia?
VEC,LMO,"ène seda in grande abondanzia, là se lavora draparia belletisima de seda e d'oro, e là è i mior astori del mondo."
PMS,VEC,A vede chi ciaei i à ciamà dotore:
SCN,NAP,N'ata Un'altra.
VEC,SCN,"Dapoi che vui vollé aver questo dexenor e questa vergognia, e vui ve l'abié!;"
LMO,FUR,"Tié, chest'è 'na scopa ;"
VEC,LLD,Chesto se l à sapù dapò de un toco.
VEC,LMO,El tò amigo Jato Pini Ce dijeo del mè jato?
LLD,VEC,Ra prejon ra l aea copà.
PMS,LLD,Son ruà de setanta ane san come un pesc.
